query,sources,total_chunks,raw_tokens,chunked_tokens,filtered_tokens,reduction_ratio,top_score,bottom_score,score_time_s,verdict
how does transformer attention mechanism work in large language models,10,37,11023,12025,1743,6.3,7.0219,6.374,2.8,PASS
best practices for building MCP servers with Python,10,68,20021,22176,1810,11.1,6.8563,5.4688,1.3,PASS
comparison of web scraping libraries python 2025,10,56,16618,18326,1824,9.1,8.1747,6.5882,0.9,PASS
what causes hallucination in AI models and how to mitigate,10,42,12452,13642,1826,6.8,7.0922,5.2027,0.9,PASS
rust vs go for backend systems performance comparison,10,70,21440,23665,1860,11.5,8.8502,6.6727,1.2,PASS
how to implement RAG retrieval augmented generation,9,62,18960,20928,1796,10.6,8.6165,7.2907,1.0,PASS
climate change impact on global food supply 2024 2025,9,91,29224,32267,1800,16.2,7.5853,5.9783,1.4,PASS
CRISPR gene editing recent breakthroughs and ethical concerns,9,147,46568,51702,1847,25.2,6.6038,5.5515,2.3,PASS
zero knowledge proofs practical applications blockchain,9,102,32233,35685,1699,19.0,7.1413,5.7322,1.6,PASS
microplastics health effects latest research findings,10,172,56058,62081,1846,30.4,6.4252,4.6899,2.6,PASS
